Data;Hora;Irradiacao
03062019;0;0.794
03062019;1;0
03062019;2;0
03062019;3;0
03062019;4;0
03062019;5;0
03062019;6;0
03062019;7;0
03062019;8;0
03062019;9;0
03062019;10;37.9
03062019;11;236.3
03062019;12;1091
03062019;13;1761
03062019;14;2010
03062019;15;1999
03062019;16;2302
03062019;17;1976
03062019;18;2085
03062019;19;1337
03062019;20;970.7
03062019;21;128.1
03062019;22;12.16
03062019;23;2.660
04062019;0;1.392
04062019;1;0.099
04062019;2;0.051
04062019;3;0
04062019;4;0
04062019;5;0
04062019;6;0
04062019;7;0.002
04062019;8;0
04062019;9;0
04062019;10;24.78
04062019;11;253.2
04062019;12;1118
04062019;13;1873
04062019;14;2054
04062019;15;2405
04062019;16;2026
04062019;17;2296
04062019;18;1585
04062019;19;534
04062019;20;160.1
04062019;21;94.62
04062019;22;7.503
04062019;23;0.094
05062019;0;0.489
05062019;1;0.115
05062019;2;0.01
05062019;3;0
05062019;4;0
05062019;5;0
05062019;6;0
05062019;7;0
05062019;8;0
05062019;9;0
05062019;10;43.71
05062019;11;284.6
05062019;12;669.5
05062019;13;1546
05062019;14;2234
05062019;15;2104
05062019;16;2699
05062019;17;2185
05062019;18;1759
05062019;19;1795
05062019;20;1044
05062019;21;90.82
05062019;22;13.07
05062019;23;3.883
06062019;0;5.528
06062019;1;8.040
06062019;2;0.582
06062019;3;0.679
06062019;4;0
06062019;5;0
06062019;6;0
06062019;7;0
06062019;8;0
06062019;9;0
06062019;10;47.46
06062019;11;359.2
06062019;12;960.7
06062019;13;1451
06062019;14;2331
06062019;15;2109
06062019;16;2733
06062019;17;2677
06062019;18;2073
06062019;19;1779
06062019;20;933.7
06062019;21;83.81
06062019;22;8.899
06062019;23;5.518
07062019;0;4.981
07062019;1;2.803
07062019;2;2.462
07062019;3;1.485
07062019;4;1.394
07062019;5;0.366
07062019;6;1.025
07062019;7;2.206
07062019;8;0.098
07062019;9;0.108
07062019;10;72.65
07062019;11;373.8
07062019;12;886.5
07062019;13;1493
07062019;14;1648
07062019;15;2403
07062019;16;1933
07062019;17;1555
07062019;18;1894
07062019;19;184.7
07062019;20;84.3
07062019;21;45.96
07062019;22;6.778
07062019;23;2.460
08062019;0;1.004
08062019;1;0.691
08062019;2;0.61
08062019;3;1.027
08062019;4;1.554
08062019;5;0.411
08062019;6;0.534
08062019;7;0.44
08062019;8;0.069
08062019;9;0
08062019;10;34.41
08062019;11;281.6
08062019;12;1115
08062019;13;2022
08062019;14;2469
08062019;15;2015
08062019;16;2230
08062019;17;2319
08062019;18;1961
08062019;19;1057
08062019;20;221.9
08062019;21;87.28
08062019;22;5.928
08062019;23;0.896
09062019;0;0.041
09062019;1;0
09062019;2;0
09062019;3;0
09062019;4;0
09062019;5;0
09062019;6;0
09062019;7;0
09062019;8;0
09062019;9;0
09062019;10;38.83
09062019;11;302.4
09062019;12;1089
09062019;13;2012
09062019;14;2435
09062019;15;1990
09062019;16;2438
09062019;17;2263
09062019;18;2240
09062019;19;1414
09062019;20;547.9
09062019;21;155.5
09062019;22;8.339
09062019;23;1.589
10062019;0;0.033
10062019;1;2.151
10062019;2;0.401
10062019;3;0.022
10062019;4;0
10062019;5;0.175
10062019;6;0
10062019;7;0
10062019;8;0
10062019;9;0
10062019;10;36.06
10062019;11;319.5
10062019;12;1036
10062019;13;1700
10062019;14;1934
10062019;15;2342
10062019;16;2270
10062019;17;2248
10062019;18;1599
10062019;19;1115
10062019;20;555.1
10062019;21;283.2
10062019;22;19.29
10062019;23;2.738
11062019;0;5.286
11062019;1;4.076
11062019;2;2.799
11062019;3;2.199
11062019;4;1.641
11062019;5;1.449
11062019;6;0.095
11062019;7;0.746
11062019;8;0.067
11062019;9;0.081
11062019;10;55.56
11062019;11;526.6
11062019;12;1099
11062019;13;1621
11062019;14;2357
11062019;15;2226
11062019;16;1880
11062019;17;2070
11062019;18;2492
11062019;19;1678
11062019;20;1168
11062019;21;85.87
11062019;22;10.06
11062019;23;4.262
12062019;0;2.742
12062019;1;2.351
12062019;2;1.226
12062019;3;1.338
12062019;4;0.608
12062019;5;0.773
12062019;6;0.612
12062019;7;0.047
12062019;8;0.22
12062019;9;0.322
12062019;10;21.62
12062019;11;243.4
12062019;12;734.7
12062019;13;1227
12062019;14;1487
12062019;15;2519
12062019;16;1762
12062019;17;2222
12062019;18;1915
12062019;19;1131
12062019;20;922.8
12062019;21;171.1
12062019;22;9.549
12062019;23;2.056
13062019;0;2.320
13062019;1;0.55
13062019;2;0.021
13062019;3;0.002
13062019;4;0
13062019;5;0.132
13062019;6;0
13062019;7;0.059
13062019;8;0
13062019;9;0.004
13062019;10;39.43
13062019;11;261.4
13062019;12;648.4
13062019;13;1177
13062019;14;1386
13062019;15;1676
13062019;16;2432
13062019;17;1950
13062019;18;2165
13062019;19;1783
13062019;20;232.8
13062019;21;114.9
13062019;22;6.741
13062019;23;3.150
14062019;0;0.933
14062019;1;1.414
14062019;2;0.819
14062019;3;0.028
14062019;4;0.001
14062019;5;0
14062019;6;0
14062019;7;0.002
14062019;8;0.161
14062019;9;0.233
14062019;10;50.76
14062019;11;274.4
14062019;12;783.6
14062019;13;1640
14062019;14;2161
14062019;15;2547
14062019;16;2743
14062019;17;2735
14062019;18;2470
14062019;19;638.9
14062019;20;145.7
14062019;21;35.36
14062019;22;1.218
14062019;23;0.466
15062019;0;0.365
15062019;1;0.168
15062019;2;0
15062019;3;0
15062019;4;0
15062019;5;0.012
15062019;6;0
15062019;7;0.003
15062019;8;2.504
15062019;9;0.851
15062019;10;30.2
15062019;11;221.4
15062019;12;516.1
15062019;13;880.9
15062019;14;2131
15062019;15;2131
15062019;16;1460
15062019;17;1570
15062019;18;844.1
15062019;19;1963
15062019;20;231.2
15062019;21;46.96
15062019;22;10.35
15062019;23;8.013
16062019;0;8.408
16062019;1;9.024
16062019;2;3.032
16062019;3;1.232
16062019;4;0.644
16062019;5;0
16062019;6;0
16062019;7;0
16062019;8;0
16062019;9;0
16062019;10;34.28
16062019;11;309.7
16062019;12;1024
16062019;13;2038
16062019;14;1882
16062019;15;2426
16062019;16;2701
16062019;17;2139
16062019;18;2384
16062019;19;1955
16062019;20;1242
16062019;21;178.8
16062019;22;10.96
16062019;23;6.089
17062019;0;5.688
17062019;1;4.127
17062019;2;1.266
17062019;3;0.593
17062019;4;0.047
17062019;5;0
17062019;6;0
17062019;7;0
17062019;8;0.09
17062019;9;0.334
17062019;10;49.2
17062019;11;433.1
17062019;12;1004
17062019;13;1706
17062019;14;2354
17062019;15;2605
17062019;16;2718
17062019;17;2337
17062019;18;2131
17062019;19;1740
17062019;20;948.8
17062019;21;227.6
17062019;22;20.97
17062019;23;5.327
18062019;0;4.640
18062019;1;4.055
18062019;2;3.112
18062019;3;1.658
18062019;4;1.175
18062019;5;1.264
18062019;6;0.405
18062019;7;0.286
18062019;8;0.118
18062019;9;0
18062019;10;46.86
18062019;11;411
18062019;12;951.9
18062019;13;1412
18062019;14;2090
18062019;15;2444
18062019;16;1461
18062019;17;2296
18062019;18;2489
18062019;19;1932
18062019;20;983.5
18062019;21;100.3
18062019;22;12.75
18062019;23;1.687
19062019;0;8.831
19062019;1;4.023
19062019;2;1.110
19062019;3;0.036
19062019;4;0
19062019;5;0
19062019;6;0
19062019;7;0
19062019;8;0
19062019;9;0
19062019;10;36.51
19062019;11;347.1
19062019;12;1110
19062019;13;2052
19062019;14;2467
19062019;15;2552
19062019;16;2550
19062019;17;2797
19062019;18;2460
19062019;19;1808
19062019;20;1010
19062019;21;172.2
19062019;22;12.16
19062019;23;0.064
20062019;0;0
20062019;1;1.304
20062019;2;0.528
20062019;3;0
20062019;4;0
20062019;5;0
20062019;6;0
20062019;7;0
20062019;8;0
20062019;9;0
20062019;10;36.39
20062019;11;334
20062019;12;1115
20062019;13;2114
20062019;14;2174
20062019;15;2482
20062019;16;2615
20062019;17;2725
20062019;18;2191
20062019;19;885.2
20062019;20;952.6
20062019;21;271.1
20062019;22;14.8
20062019;23;0.14
21062019;0;0.451
21062019;1;0.447
21062019;2;0
21062019;3;0.203
21062019;4;0.193
21062019;5;0.057
21062019;6;0
21062019;7;0
21062019;8;0
21062019;9;0
21062019;10;33.51
21062019;11;323.6
21062019;12;1075
21062019;13;1932
21062019;14;1995
21062019;15;2604
21062019;16;1757
21062019;17;2077
21062019;18;1650
21062019;19;1900
21062019;20;1137
21062019;21;163.4
21062019;22;10.25
21062019;23;7.920
22062019;0;4.471
22062019;1;3.844
22062019;2;1.554
22062019;3;1.866
22062019;4;0.975
22062019;5;0
22062019;6;0
22062019;7;0
22062019;8;0
22062019;9;0
22062019;10;31.96
22062019;11;320.7
22062019;12;1004
22062019;13;1753
22062019;14;1824
22062019;15;2485
22062019;16;2611
22062019;17;2557
22062019;18;1407
22062019;19;739.5
22062019;20;397.6
22062019;21;58.7
22062019;22;11.68
22062019;23;5.735
23062019;0;6.494
23062019;1;6.824
23062019;2;2.308
23062019;3;0.019
23062019;4;0.469
23062019;5;0.152
23062019;6;0.054
23062019;7;0.299
23062019;8;0.922
23062019;9;0.781
23062019;10;33.11
23062019;11;292.2
23062019;12;749.9
23062019;13;841.8
23062019;14;1945
23062019;15;1907
23062019;16;2099
23062019;17;932
23062019;18;835.3
23062019;19;551.9
23062019;20;604.4
23062019;21;122.6
23062019;22;13.86
23062019;23;7.108
24062019;0;6.577
24062019;1;5.946
24062019;2;5.555
24062019;3;5.297
24062019;4;1.578
24062019;5;0.682
24062019;6;0.019
24062019;7;0
24062019;8;0.02
24062019;9;0.078
24062019;10;21.1
24062019;11;227.8
24062019;12;616.3
24062019;13;1853
24062019;14;2378
24062019;15;2386
24062019;16;1985
24062019;17;2352
24062019;18;1423
24062019;19;950.4
24062019;20;289.6
24062019;21;187.4
24062019;22;28.12
24062019;23;5.524
25062019;0;2.598
25062019;1;0.004
25062019;2;0.02
25062019;3;0.121
25062019;4;0
25062019;5;0
25062019;6;0
25062019;7;0
25062019;8;0
25062019;9;0
25062019;10;35.23
25062019;11;334.1
25062019;12;1054
25062019;13;1871
25062019;14;2276
25062019;15;2420
25062019;16;2375
25062019;17;2470
25062019;18;2333
